dataset,category,stratum,feature,fit_images,check_images,median,q01,q99,fraction_outside_source_scaler_3sd,fraction_outside_source_scaler_5sd
AD2,wallplugs,high_response,intensity_std,8,8,0.19046351313591003,0.1503642350435257,0.2417512685060501,0.0,0.0
AD2,wallplugs,high_response,image_gradient,8,8,0.4143250584602356,0.043468501418828964,0.7463220953941345,0.0,0.0
AD2,wallplugs,uniform,response,8,8,-4.51772403717041,-7.1064300537109375,-1.6552817821502686,0.0,0.0
AD2,wallplugs,uniform,center_surround,8,8,0.014549873769283295,-1.0816518068313599,0.91504967212677,0.0,0.0
AD2,wallplugs,uniform,surround,8,8,-4.482731819152832,-6.493189334869385,-2.366227626800537,0.0,0.0
AD2,wallplugs,uniform,response_std,8,8,0.5829494595527649,0.2672613859176636,1.3331358432769775,0.0,0.0
AD2,wallplugs,uniform,intensity_mean,8,8,0.19326931238174438,0.04057088866829872,0.4523259699344635,0.0,0.0
AD2,wallplugs,uniform,intensity_std,8,8,0.18363389372825623,0.007651636376976967,0.24872885644435883,0.0,0.0
AD2,wallplugs,uniform,image_gradient,8,8,0.16186541318893433,0.0366843156516552,0.8148860335350037,0.00537109375,0.0
AD2,walnuts,high_response,response,8,8,0.07659953832626343,-1.191503882408142,1.1574171781539917,0.0,0.0
AD2,walnuts,high_response,center_surround,8,8,1.4680441617965698,0.9656857252120972,2.351412773132324,0.0,0.0
AD2,walnuts,high_response,surround,8,8,-1.931208610534668,-2.829252004623413,-0.4636032283306122,0.0,0.0
AD2,walnuts,high_response,response_std,8,8,1.289154052734375,0.7947003841400146,1.9048728942871094,0.0,0.0
AD2,walnuts,high_response,intensity_mean,8,8,0.3016989231109619,0.25783276557922363,0.3981759250164032,0.0,0.0
AD2,walnuts,high_response,intensity_std,8,8,0.13317129015922546,0.10946498811244965,0.17999447882175446,0.0,0.0
AD2,walnuts,high_response,image_gradient,8,8,0.343605101108551,0.22043398022651672,0.7420234084129333,0.0,0.0
AD2,walnuts,uniform,response,8,8,-5.200307369232178,-8.038066864013672,-1.5241740942001343,0.0,0.0
AD2,walnuts,uniform,center_surround,8,8,0.006589801982045174,-1.2173680067062378,0.9798877835273743,0.0001220703125,0.0
AD2,walnuts,uniform,surround,8,8,-5.227987766265869,-7.355020999908447,-2.285153865814209,0.0,0.0
AD2,walnuts,uniform,response_std,8,8,0.649802029132843,0.2710234522819519,1.5637634992599487,0.0,0.0
AD2,walnuts,uniform,intensity_mean,8,8,0.13940592110157013,0.08291974663734436,0.5152900218963623,0.0,0.0
AD2,walnuts,uniform,intensity_std,8,8,0.037584252655506134,0.008467943407595158,0.19514673948287964,0.0,0.0
AD2,walnuts,uniform,image_gradient,8,8,0.08116158843040466,0.03566717356443405,0.4618319571018219,0.0,0.0
VisA,candle,high_response,response,8,8,-0.4740804433822632,-1.406766414642334,1.8387058973312378,0.0,0.0
VisA,candle,high_response,center_surround,8,8,0.8477892875671387,0.6160728335380554,1.6605526208877563,0.0,0.0
VisA,candle,high_response,surround,8,8,-1.5617079734802246,-2.1958980560302734,-0.010670307092368603,0.0,0.0
VisA,candle,high_response,response_std,8,8,0.6555436253547668,0.4609629511833191,1.24565589427948,0.0,0.0
VisA,candle,high_response,intensity_mean,8,8,0.5286402702331543,0.10754787176847458,0.8718985319137573,0.0,0.0
VisA,candle,high_response,intensity_std,8,8,0.02923933044075966,0.008321836590766907,0.367380291223526,0.0,0.0
VisA,candle,high_response,image_gradient,8,8,0.04716894403100014,0.02508152648806572,0.5582515001296997,0.0,0.0
VisA,candle,uniform,response,8,8,-2.8883395195007324,-3.8203747272491455,-1.202683448791504,0.0,0.0
