category,image_id,method,best_window_coverage,union_coverage,recalled50,recalled90
chewinggum,de60294a69c40673294f5c8f,grid8,0.0,0.0,0.0,0.0
chewinggum,de60294a69c40673294f5c8f,mixed8,1.0,1.0,1.0,1.0
chewinggum,de60294a69c40673294f5c8f,top8,1.0,1.0,1.0,1.0
chewinggum,ed40ad1222413fa954e7d598,grid8,1.0,1.0,1.0,1.0
chewinggum,ed40ad1222413fa954e7d598,mixed8,1.0,1.0,1.0,1.0
chewinggum,ed40ad1222413fa954e7d598,top8,1.0,1.0,1.0,1.0
chewinggum,f1f82d74d86d7fe2c2a2991b,grid8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
chewinggum,f1f82d74d86d7fe2c2a2991b,mixed8,1.0,1.0,1.0,1.0
chewinggum,f1f82d74d86d7fe2c2a2991b,top8,1.0,1.0,1.0,1.0
chewinggum,f64396309a7f0ebc28e5d4d2,grid8,1.0,1.0,1.0,1.0
chewinggum,f64396309a7f0ebc28e5d4d2,mixed8,1.0,1.0,1.0,1.0
chewinggum,f64396309a7f0ebc28e5d4d2,top8,1.0,1.0,1.0,1.0
fryum,0567f015e56225dc7b608691,grid8,0.2,0.2,0.2,0.2
fryum,0567f015e56225dc7b608691,mixed8,0.8,0.8,0.8,0.8
fryum,0567f015e56225dc7b608691,top8,0.95,0.95,0.95,0.95
fryum,05e7d385d49a93944ed7d660,grid8,1.0,1.0,1.0,1.0
fryum,05e7d385d49a93944ed7d660,mixed8,0.0,0.0,0.0,0.0
fryum,05e7d385d49a93944ed7d660,top8,1.0,1.0,1.0,1.0
fryum,0991fdba5270f68770239306,grid8,0.5,0.5,0.5,0.5
fryum,0991fdba5270f68770239306,mixed8,1.0,1.0,1.0,1.0
fryum,0991fdba5270f68770239306,top8,1.0,1.0,1.0,1.0
fryum,0dc73ea3b7f6abcbf1a04e2d,grid8,0.0,0.0,0.0,0.0
fryum,0dc73ea3b7f6abcbf1a04e2d,mixed8,1.0,1.0,1.0,1.0
fryum,0dc73ea3b7f6abcbf1a04e2d,top8,1.0,1.0,1.0,1.0
fryum,0fdaf1bb08e3c9e6bdb2479d,grid8,0.0,0.0,0.0,0.0
fryum,0fdaf1bb08e3c9e6bdb2479d,mixed8,1.0,1.0,1.0,1.0
fryum,0fdaf1bb08e3c9e6bdb2479d,top8,1.0,1.0,1.0,1.0
fryum,11a192dfa2971876b4b07756,grid8,0.0,0.0,0.0,0.0
fryum,11a192dfa2971876b4b07756,mixed8,1.0,1.0,1.0,1.0
fryum,11a192dfa2971876b4b07756,top8,1.0,1.0,1.0,1.0
fryum,1e408470abc1d14f529400cf,grid8,1.0,1.0,1.0,1.0
fryum,1e408470abc1d14f529400cf,mixed8,1.0,1.0,1.0,1.0
fryum,1e408470abc1d14f529400cf,top8,1.0,1.0,1.0,1.0
fryum,232aebca13c2a3b682c8b7ff,grid8,0.024096385542168676,0.024096385542168676,0.0,0.0
fryum,232aebca13c2a3b682c8b7ff,mixed8,1.0,1.0,1.0,1.0
fryum,232aebca13c2a3b682c8b7ff,top8,1.0,1.0,1.0,1.0
fryum,2659ffa91556eeb0ae66d2a3,grid8,0.0,0.0,0.0,0.0
fryum,2659ffa91556eeb0ae66d2a3,mixed8,1.0,1.0,1.0,1.0
fryum,2659ffa91556eeb0ae66d2a3,top8,1.0,1.0,1.0,1.0
fryum,2b0ddfa999dd7cd84c31ef1b,grid8,0.13793103448275862,0.13793103448275862,0.13793103448275862,0.13793103448275862
fryum,2b0ddfa999dd7cd84c31ef1b,mixed8,1.0,1.0,1.0,1.0
fryum,2b0ddfa999dd7cd84c31ef1b,top8,1.0,1.0,1.0,1.0
fryum,3155f2ae7b4e017f3e4e86f1,grid8,1.0,1.0,1.0,1.0
fryum,3155f2ae7b4e017f3e4e86f1,mixed8,1.0,1.0,1.0,1.0
fryum,3155f2ae7b4e017f3e4e86f1,top8,1.0,1.0,1.0,1.0
fryum,34bfd09d3c9568afa40da658,grid8,0.0,0.0,0.0,0.0
fryum,34bfd09d3c9568afa40da658,mixed8,1.0,1.0,1.0,1.0
fryum,34bfd09d3c9568afa40da658,top8,1.0,1.0,1.0,1.0
fryum,3d13dece78f48cf7fa45ca33,grid8,0.0,0.0,0.0,0.0
fryum,3d13dece78f48cf7fa45ca33,mixed8,1.0,1.0,1.0,1.0
fryum,3d13dece78f48cf7fa45ca33,top8,1.0,1.0,1.0,1.0
fryum,3f616e47db6081139aa9591a,grid8,0.0,0.0,0.0,0.0
fryum,3f616e47db6081139aa9591a,mixed8,1.0,1.0,1.0,1.0
fryum,3f616e47db6081139aa9591a,top8,1.0,1.0,1.0,1.0
fryum,42f250bd04d6cb63ef16c4d1,grid8,0.0,0.0,0.0,0.0
