backbone,strategy,eval_mode,debiased_method,num_images,num_normal,num_anomaly,candidate_coverage,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm,delta_accuracy_vs_vlm
PatchCore,category_binary,crop_or_full,vlm_only,2162,962,1200,0.5550416281221091,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.4073347316329559,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,0.0,0.0,0.0,0.0
PatchCore,category_binary,crop_or_full,qcr_u_neutral_q_fixed,2162,962,1200,0.5550416281221091,0.7770945945945946,0.8040924977687409,0.7690566037735849,0.7169287696577243,0.36411246732825997,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,-0.004906878031877948,0.019306168088158993,-0.005267174991049783,-0.02451433857539309
PatchCore,category_binary,crop_or_full,candidate_quality_neutral,2162,962,1200,0.5550416281221091,0.2683333333333333,0.582415516260038,0.7138607971445569,0.5550416281221091,0.0,0.7820014726264726,0.7847863296805819,0.7743237787646347,0.7414431082331174,-0.5136681392931393,-0.20237081342054397,-0.060462981620077794,-0.18640148011100832
PatchCore,category_binary,crop_topk_ensemble,candidate_quality_original,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.0011839024513291,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.1958636521136521,0.19886007082136659,0.20393617783418105,0.23172987974098058
PatchCore,category_binary,crop_topk_ensemble,qcr_u_original_detector_aware,2162,962,1200,0.5550416281221091,0.9299592862092863,0.9419447632506713,0.8892405063291139,0.8704902867715079,0.3241718621321676,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.13082293832293834,0.1431633209162061,0.09820180979143567,0.10777058279370955
PatchCore,category_binary,crop_topk_ensemble,detector_only,2162,962,1200,0.5550416281221091,0.9131098406098406,0.9259251283102992,0.8605769230769231,0.8390379278445883,0.2342765639717073,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.11397349272349266,0.12714368597583392,0.06953822653924491,0.07631822386678999
PatchCore,category_binary,crop_topk_ensemble,qcr_u_original_fixed,2162,962,1200,0.5550416281221091,0.8947487872487873,0.9124701184927949,0.8615509541209907,0.8422756706753006,0.35124278825439464,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.09561243936243935,0.11368867615832967,0.07051225758331248,0.07955596669750231
PatchCore,category_binary,crop_topk_ensemble,qcr_u_no_q_detector_aware,2162,962,1200,0.5550416281221091,0.8771457033957034,0.8936263712177602,0.8478884788847888,0.8283996299722479,0.39424025125614076,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.0780093555093555,0.09484492888329499,0.05684978234711058,0.0656799259944496
PatchCore,category_binary,crop_topk_ensemble,qcr_u_neutral_q_detector_aware,2162,962,1200,0.5550416281221091,0.8397877685377685,0.8586789586795122,0.8181453231633882,0.7904717853839038,0.39300106212323277,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.04065142065142058,0.05989751634504692,0.02710662662570995,0.027752081406105522
PatchCore,category_binary,crop_topk_ensemble,qcr_u_no_q_fixed,2162,962,1200,0.5550416281221091,0.8313634788634788,0.85432056800972,0.8084596967278531,0.7779833487511564,0.3719754266642009,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.032227130977130924,0.055539125675254764,0.017421000190174896,0.015263644773358065
PatchCore,category_binary,crop_topk_ensemble,vlm_only,2162,962,1200,0.5550416281221091,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.4245073172471296,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,0.0,0.0,0.0,0.0
PatchCore,category_binary,crop_topk_ensemble,qcr_u_neutral_q_fixed,2162,962,1200,0.5550416281221091,0.7952633402633402,0.8158687247936357,0.7857142857142857,0.755781683626272,0.405005547265226,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,-0.003873007623007685,0.01708728245917046,-0.0053244108233925225,-0.006938020351526353
PatchCore,category_binary,crop_topk_ensemble,candidate_quality_neutral,2162,962,1200,0.5550416281221091,0.2683333333333333,0.582415516260038,0.7138607971445569,0.5550416281221091,0.0,0.7991363478863479,0.7987814423344652,0.7910386965376782,0.7627197039777983,-0.5308030145530146,-0.21636592607442728,-0.07717789939312136,-0.2076780758556892
