backbone,strategy,eval_mode,fusion_method,category,num_images,num_normal,num_anomaly,has_both_classes,candidate_coverage,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm,delta_accuracy_vs_vlm
FastFlow,inspection_binary,crop_or_full,vlm_only,macaroni2,200,100,100,True,0.5,0.8122,0.8449905844252585,0.7641509433962265,0.75,0.445143857423135,0.8122,0.8449905844252585,0.7641509433962265,0.75,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,detector_only,macaroni2,200,100,100,True,0.5,0.7208,0.7528116034031653,0.7121212121212122,0.62,0.1957820926844771,0.8122,0.8449905844252585,0.7641509433962265,0.75,-0.09140000000000004,-0.09217898102209321,-0.05202973127501431,-0.13
FastFlow,inspection_binary,crop_or_full,candidate_quality_only,pcb1,200,100,100,True,0.5,0.995,1.0,0.9949748743718593,0.995,0.2275591027229197,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.42169999999999996,0.3604637546784617,0.32830820770519265,0.495
FastFlow,inspection_binary,crop_or_full,detector_only,pcb1,200,100,100,True,0.5,0.8936,0.8922699141201902,0.8468468468468469,0.83,0.3321640682622474,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.3202999999999999,0.2527336687986519,0.18018018018018023,0.32999999999999996
FastFlow,inspection_binary,crop_or_full,qcr_u_detector_aware,pcb1,200,100,100,True,0.5,0.8863,0.9150153697564068,0.8297872340425532,0.84,0.4033155026445056,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.31299999999999994,0.27547912443486855,0.16312056737588654,0.33999999999999997
FastFlow,inspection_binary,crop_or_full,qcr_u_fixed,pcb1,200,100,100,True,0.5,0.8292,0.8710528369942672,0.7647058823529411,0.76,0.377669437432275,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.2559,0.23151659167272887,0.0980392156862745,0.26
FastFlow,inspection_binary,crop_or_full,vlm_detector_avg,pcb1,200,100,100,True,0.5,0.7686,0.8116111473407837,0.7323943661971831,0.715,0.4235891883659622,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.19529999999999992,0.17207490201924536,0.06572769953051649,0.21499999999999997
FastFlow,inspection_binary,crop_or_full,vlm_only,pcb1,200,100,100,True,0.5,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.0,0.5733,0.6395362453215383,0.6666666666666666,0.5,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_detector_aware,pcb2,200,100,100,True,0.5,0.9997,0.9997087378640777,0.9949748743718593,0.995,0.2620153379918912,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.015100000000000002,0.01093286239508573,0.035791200902471565,0.03500000000000003
FastFlow,inspection_binary,crop_or_full,qcr_u_fixed,pcb2,200,100,100,True,0.5,0.9987,0.9987784900284901,0.98989898989899,0.99,0.3025818221354639,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.014100000000000001,0.010002614559498135,0.030715316429602235,0.030000000000000027
FastFlow,inspection_binary,crop_or_full,vlm_detector_avg,pcb2,200,100,100,True,0.5,0.996,0.9966442385443967,0.99,0.99,0.3075171695912461,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.011399999999999966,0.007868363075404727,0.03081632653061228,0.030000000000000027
FastFlow,inspection_binary,crop_or_full,candidate_quality_only,pcb2,200,100,100,True,0.5,0.995,1.0,0.9949748743718593,0.995,0.1728762240506666,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.010399999999999965,0.011224124531008073,0.035791200902471565,0.03500000000000003
FastFlow,inspection_binary,crop_or_full,vlm_only,pcb2,200,100,100,True,0.5,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.2964799504449885,0.9846,0.9887758754689919,0.9591836734693877,0.96,0.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,detector_only,pcb2,200,100,100,True,0.5,0.8776,0.9092279549181768,0.8279569892473119,0.84,0.3864936433046756,0.9846,0.9887758754689919,0.9591836734693877,0.96,-0.10699999999999998,-0.07954792055081517,-0.13122668422207584,-0.12
FastFlow,inspection_binary,crop_or_full,candidate_quality_only,pcb3,201,101,100,True,0.4975124378109453,0.995,1.0,0.9949748743718593,0.9950248756218906,0.7881242950940193,0.6986138613861386,0.7604943301146302,0.6735751295336787,0.6865671641791045,0.2963861386138614,0.2395056698853698,0.32139974483818057,0.3084577114427861
FastFlow,inspection_binary,crop_or_full,qcr_u_detector_aware,pcb3,201,101,100,True,0.4975124378109453,0.9748514851485148,0.9757964590151539,0.9108910891089109,0.9104477611940298,0.3809819742339611,0.6986138613861386,0.7604943301146302,0.6735751295336787,0.6865671641791045,0.27623762376237626,0.2153021289005237,0.23731595957523222,0.22388059701492535
FastFlow,inspection_binary,crop_or_full,qcr_u_fixed,pcb3,201,101,100,True,0.4975124378109453,0.9445544554455445,0.952179914980289,0.875,0.8805970149253731,0.390131076181514,0.6986138613861386,0.7604943301146302,0.6735751295336787,0.6865671641791045,0.24594059405940594,0.1916855848656588,0.2014248704663213,0.19402985074626866
