backbone,strategy,eval_mode,fusion_method,num_images,num_normal,num_anomaly,coverage_ratio,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm,delta_accuracy_vs_vlm
PatchCore,generic_binary,crop_topk_ensemble,qcr_u_detector_aware,2162,962,1200,0.5550416281221091,0.9707501732501732,0.9809387621353244,0.9300911854103343,0.925531914893617,0.37824569522594476,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.07480379417879413,0.049170960830919985,0.09826181707563375,0.11517113783533761
PatchCore,generic_binary,crop_topk_ensemble,vlm_detector_avg,2162,962,1200,0.5550416281221091,0.9589795564795565,0.9711519227408909,0.9118150684931506,0.9047178538390379,0.44153660904855896,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.06303317740817738,0.03938412143648651,0.07998570015845008,0.09435707678075855
PatchCore,generic_binary,crop_topk_ensemble,qcr_u_fixed,2162,962,1200,0.5550416281221091,0.9492558905058905,0.9684044829909463,0.9023972602739726,0.8945420906567992,0.3799347843750357,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.05330951143451146,0.03663668168654188,0.07056789193927204,0.08418131359851988
PatchCore,generic_binary,crop_topk_ensemble,detector_only,2162,962,1200,0.5550416281221091,0.9131098406098406,0.9259251283102992,0.8605769230769231,0.8390379278445883,0.23427656397170737,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.01716346153846149,-0.005842672994105236,0.02874755474222257,0.028677150786308947
PatchCore,generic_binary,crop_topk_ensemble,vlm_only,2162,962,1200,0.5550416281221091,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.44916002332013694,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.0,0.0,0.0,0.0
PatchCore,generic_binary,full_all,candidate_quality_only,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.0011839024513291066,0.5437335412335412,0.6002923748769862,0.7138607971445569,0.5550416281221091,0.45126645876645877,0.39734913827884566,0.2811140772273024,0.4394079555966698
PatchCore,generic_binary,full_all,detector_only,2162,962,1200,0.5550416281221091,0.9131098406098406,0.9259251283102992,0.8605769230769231,0.8390379278445883,0.23427656397170737,0.5437335412335412,0.6002923748769862,0.7138607971445569,0.5550416281221091,0.36937629937629934,0.325632753433313,0.14671612593236627,0.2839962997224792
PatchCore,generic_binary,full_all,qcr_u_detector_aware,2162,962,1200,0.5550416281221091,0.8049497574497575,0.8550154682918677,0.7630904430611498,0.7007400555041629,0.3147447919919538,0.5437335412335412,0.6002923748769862,0.7138607971445569,0.5550416281221091,0.26121621621621627,0.25472309341488153,0.04922964591659296,0.14569842738205374
PatchCore,generic_binary,full_all,vlm_detector_avg,2162,962,1200,0.5550416281221091,0.7306297643797643,0.7882457262594275,0.7336939230034999,0.6128584643848288,0.24445570757759816,0.5437335412335412,0.6002923748769862,0.7138607971445569,0.5550416281221091,0.18689622314622312,0.1879533513824413,0.019833125858943035,0.05781683626271972
PatchCore,generic_binary,full_all,qcr_u_fixed,2162,962,1200,0.5550416281221091,0.7251923076923077,0.7871881332342763,0.7308201058201058,0.6234967622571693,0.25113192854349503,0.5437335412335412,0.6002923748769862,0.7138607971445569,0.5550416281221091,0.18145876645876646,0.1868957583572901,0.016959308675548956,0.06845513413506021
PatchCore,generic_binary,full_all,vlm_only,2162,962,1200,0.5550416281221091,0.5437335412335412,0.6002923748769862,0.7138607971445569,0.5550416281221091,0.0,0.5437335412335412,0.6002923748769862,0.7138607971445569,0.5550416281221091,0.0,0.0,0.0,0.0
PatchCore,inspection_binary,crop_or_full,candidate_quality_only,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.0011839024513291066,0.8682371794871795,0.8948999424879276,0.8231611893583725,0.7909343200740055,0.1267628205128205,0.10274157066790424,0.17181368501348682,0.20351526364477335
PatchCore,inspection_binary,crop_or_full,qcr_u_detector_aware,2162,962,1200,0.5550416281221091,0.9600164587664588,0.9714670388324581,0.9022491349480969,0.8954671600370028,0.3500604436586194,0.8682371794871795,0.8948999424879276,0.8231611893583725,0.7909343200740055,0.09177927927927931,0.07656709634453052,0.07908794558972443,0.10453283996299723
PatchCore,inspection_binary,crop_or_full,qcr_u_fixed,2162,962,1200,0.5550416281221091,0.9366372141372141,0.9548167173269455,0.8802698145025295,0.8686401480111008,0.3342851872539501,0.8682371794871795,0.8948999424879276,0.8231611893583725,0.7909343200740055,0.06840003465003464,0.05991677483901792,0.057108625144157044,0.07770582793709524
