q_source,q_direction,q_name,category,num_images,auroc_detector_D,auroc_crop_M,auroc_quality_Q_alone,auroc_V3_naive,auroc_V4_quality,auroc_V5_fixed_qc,auroc_V6_adaptive,delta_V4_minus_V3,delta_V6_minus_V4,delta_V6_minus_V3
tight_topk_max_score,direct,tight_topk_max_score__direct,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.7333333333333333,0.8766666666666668,0.85,0.8899999999999999,0.85,-0.02666666666666684,0.0,-0.02666666666666684
tight_topk_max_score,direct,tight_topk_max_score__direct,sheet_metal,57,0.7462962962962963,0.587037037037037,0.34814814814814815,0.7425925925925927,0.6796296296296295,0.6907407407407407,0.6759259259259259,-0.06296296296296322,-0.0037037037037035425,-0.06666666666666676
tight_topk_max_score,direct,tight_topk_max_score__direct,vial,71,0.8731656184486374,0.5230607966457024,0.3542976939203354,0.9182389937106918,0.9182389937106918,0.8899371069182391,0.9192872117400419,0.0,0.0010482180293500676,0.0010482180293500676
tight_topk_max_score,direct,tight_topk_max_score__direct,walnuts,75,0.8051851851851852,0.6429629629629628,0.5074074074074074,0.777037037037037,0.7866666666666666,0.7837037037037037,0.7866666666666666,0.009629629629629655,0.0,0.009629629629629655
tight_topk_max_score,inverted,tight_topk_max_score__inverted,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.26666666666666666,0.8766666666666668,0.86,0.8733333333333333,0.86,-0.01666666666666683,0.0,-0.01666666666666683
tight_topk_max_score,inverted,tight_topk_max_score__inverted,sheet_metal,57,0.7462962962962963,0.587037037037037,0.6518518518518519,0.7425925925925927,0.7999999999999999,0.7925925925925926,0.7981481481481482,0.05740740740740724,-0.0018518518518517713,0.05555555555555547
tight_topk_max_score,inverted,tight_topk_max_score__inverted,vial,71,0.8731656184486374,0.5230607966457024,0.6457023060796646,0.9182389937106918,0.9150943396226415,0.9203354297693921,0.9150943396226415,-0.0031446540880503138,0.0,-0.0031446540880503138
tight_topk_max_score,inverted,tight_topk_max_score__inverted,walnuts,75,0.8051851851851852,0.6429629629629628,0.4925925925925926,0.777037037037037,0.7903703703703703,0.7659259259259259,0.7896296296296296,0.013333333333333308,-0.0007407407407407085,0.0125925925925926
tight_topk_mean_score,direct,tight_topk_mean_score__direct,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.6766666666666665,0.8766666666666668,0.8200000000000001,0.8666666666666667,0.8200000000000001,-0.056666666666666754,0.0,-0.056666666666666754
tight_topk_mean_score,direct,tight_topk_mean_score__direct,sheet_metal,57,0.7462962962962963,0.587037037037037,0.35185185185185186,0.7425925925925927,0.6851851851851851,0.687037037037037,0.6833333333333333,-0.057407407407407574,-0.0018518518518517713,-0.059259259259259345
tight_topk_mean_score,direct,tight_topk_mean_score__direct,vial,71,0.8731656184486374,0.5230607966457024,0.3972746331236897,0.9182389937106918,0.9192872117400419,0.8909853249475892,0.9182389937106918,0.0010482180293500676,-0.0010482180293500676,0.0
tight_topk_mean_score,direct,tight_topk_mean_score__direct,walnuts,75,0.8051851851851852,0.6429629629629628,0.6066666666666667,0.777037037037037,0.7925925925925925,0.7822222222222223,0.7925925925925925,0.015555555555555545,0.0,0.015555555555555545
tight_topk_mean_score,inverted,tight_topk_mean_score__inverted,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.32333333333333325,0.8766666666666668,0.8633333333333333,0.8733333333333334,0.8633333333333333,-0.01333333333333353,0.0,-0.01333333333333353
tight_topk_mean_score,inverted,tight_topk_mean_score__inverted,sheet_metal,57,0.7462962962962963,0.587037037037037,0.6481481481481481,0.7425925925925927,0.7925925925925926,0.774074074074074,0.7925925925925926,0.04999999999999993,0.0,0.04999999999999993
