backbone,strategy,eval_mode,category,num_images,num_normal,num_anomaly,candidate_rate_all,candidate_rate_normal,candidate_rate_anomaly,q_mean_normal,q_mean_anomaly,d_mean_normal,d_mean_anomaly,m_mean_normal,m_mean_anomaly,k_mean_normal,k_mean_anomaly,corr_q_y,corr_d_y,corr_m_y,corr_k_y,corr_q_d,corr_q_m,corr_d_m,candidate_rate_gap_anomaly_minus_normal,q_gap_anomaly_minus_normal,d_gap_anomaly_minus_normal,m_gap_anomaly_minus_normal
FastFlow,inspection_binary,crop_topk_ensemble,pcb2,200,100,100,0.5,0.0,1.0,0.0,0.611059203480519,0.20090343270250657,0.5991427104118334,0.13166789127731585,0.566039609166819,0.14085897547589973,0.41864540431506503,0.9185586535436917,0.6541007181894954,0.8414411159410703,0.7868805179464912,0.6933554320036772,0.7831404855279601,0.5397640892954161,1.0,0.611059203480519,0.3982392777093269,0.43437171788950313
FastFlow,inspection_binary,crop_topk_ensemble,pcb3,201,101,100,0.4975124378109453,0.0,1.0,0.0,0.9214577814226123,0.31185017541256976,0.6690455148018936,0.3071482461871754,0.5227305262194052,0.26509438362245963,0.41378035199034646,0.9195469385724475,0.6703415859457176,0.5192722619127287,0.49937940115253177,0.7550077337150464,0.48010345382773006,0.4295424234689294,1.0,0.9214577814226123,0.3571953393893238,0.2155822800322298
FastFlow,inspection_binary,crop_topk_ensemble,pcb4,201,101,100,0.4975124378109453,0.0,1.0,0.0,0.6504344018699073,0.27342980253482935,0.705396646659507,0.2957148206628444,0.5477038332878237,0.239621846291479,0.4742533691331463,0.9195469385724475,0.7593921791882546,0.6535493134913152,0.6830453828264197,0.7589369615472724,0.6100193490455469,0.5584467169771004,1.0,0.6504344018699073,0.4319668441246776,0.2519890126249793
FastFlow,inspection_binary,crop_topk_ensemble,pipe_fryum,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.5018185303531094,0.24121149012885174,0.7999975171391169,0.2520399348312041,0.4639587246257566,0.20965281137267966,0.39261709786503596,0.8247136907774267,0.7747430425840988,0.555556619503058,0.5875639967583781,0.6409720301429838,0.4460377897618739,0.4748828772560064,1.0,0.5018185303531094,0.5587860270102651,0.21191878979455248
FastFlow,inspection_binary,full_all,candle,200,100,100,0.5,0.0,1.0,0.0,0.5726022941602509,0.3054228744887833,0.7699808272541395,0.23388934605218242,0.41231964142052907,0.2267907768153578,0.3752158644828903,0.9185586535436917,0.8033352063032855,0.5499330056086528,0.5542631867551776,0.8351919368934222,0.5249979922078708,0.5398379959498989,1.0,0.5726022941602509,0.4645579527653562,0.17843029536834665
FastFlow,inspection_binary,full_all,capsules,160,60,100,0.625,0.0,1.0,0.0,0.663137584602592,0.38443502710635324,0.6720003195123592,0.49954497734260406,0.530224056477445,0.34253465672598477,0.41083735048913683,0.8541547564722065,0.4341873989743907,0.08748786838379596,0.21298963485128602,0.5575102970519542,0.09196929399732345,0.1533081959512805,1.0,0.663137584602592,0.2875652924060059,0.030679079134840914
FastFlow,inspection_binary,full_all,cashew,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.6863267469725405,0.2541005108433603,0.7282520359423553,0.34700010967933514,0.41242131845261165,0.24209064021057905,0.33292835031548124,0.8247136907774267,0.647618096169484,0.15432142037604765,0.30929577817130854,0.711919927198106,0.09835415263354456,0.19753544656120017,1.0,0.6863267469725405,0.474151525098995,0.0654212087732765
FastFlow,inspection_binary,full_all,chewinggum,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.48061542868073365,0.23045522510373742,0.9189144515253886,0.34132647162937807,0.5669919254741888,0.23497651356144858,0.4834217567273085,0.8247136907774267,0.8170531110312093,0.5369405610544389,0.6522319630497394,0.7934978713326837,0.46580914125410666,0.5283354153207355,1.0,0.48061542868073365,0.6884592264216512,0.22566545384481068
FastFlow,inspection_binary,full_all,fryum,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.5056957256415536,0.25171210236903774,0.7366436524694232,0.4776577434920234,0.4769552547868569,0.276832928236064,0.415514227758247,0.8247136907774267,0.7361265504486302,-0.02122938287342667,0.44189776965763516,0.7619077247411497,0.1642239360703449,0.15131265069217975,1.0,0.5056957256415536,0.48493155010038547,-0.0007024887051664819
FastFlow,inspection_binary,full_all,macaroni1,200,100,100,0.5,0.0,1.0,0.0,0.6377671417386225,0.32313786713951187,0.7144006513640164,0.4262837065790749,0.4583061212302139,0.28824191541809374,0.4076267601790956,0.9185586535436917,0.6580269775163147,0.03793238684355747,0.33307753379068955,0.7376623254412807,0.1135338411448498,0.24661529723645345,1.0,0.6377671417386225,0.39126278422450456,0.03202241465113903
