category,permuted,seed,original_sample_auc,permuted_sample_auc,drop
fryum,map,4,0.9078843344978698,0.764826451386746,0.14305788311112377
fryum,map,5,0.9078843344978698,0.7671632425121597,0.14072109198571003
fryum,map,6,0.9078843344978698,0.7687190780429172,0.1391652564549526
fryum,map,7,0.9078843344978698,0.7590793042618166,0.14880503023605318
fryum,map,8,0.9078843344978698,0.7646539474897677,0.1432303870081021
fryum,map,9,0.9078843344978698,0.7712613386875461,0.13662299581032367
macaroni1,appearance,0,0.991063370559202,0.7903691540513993,0.20069421650780273
macaroni1,appearance,1,0.991063370559202,0.7951506193262533,0.1959127512329487
macaroni1,appearance,2,0.991063370559202,0.795576461220753,0.19548690933844903
macaroni1,appearance,3,0.991063370559202,0.7974215679929693,0.19364180256623276
macaroni1,appearance,4,0.991063370559202,0.7932770113409151,0.1977863592182869
macaroni1,appearance,5,0.991063370559202,0.796542229410906,0.194521141148296
macaroni1,appearance,6,0.991063370559202,0.7974807702646838,0.19358260029451824
macaroni1,appearance,7,0.991063370559202,0.794420242675241,0.196643127883961
macaroni1,appearance,8,0.991063370559202,0.7921700061538498,0.1988933644053522
macaroni1,appearance,9,0.991063370559202,0.8000382871379306,0.19102508342127145
macaroni1,map,0,0.991063370559202,0.9391496906595771,0.05191367989962492
macaroni1,map,1,0.991063370559202,0.9398946480426789,0.05116872251652316
macaroni1,map,2,0.991063370559202,0.9423548692724978,0.04870850128670423
macaroni1,map,3,0.991063370559202,0.9415607754649302,0.049502595094271795
macaroni1,map,4,0.991063370559202,0.9397443602284002,0.05131901033080177
macaroni1,map,5,0.991063370559202,0.9413586918806847,0.049704678678517356
macaroni1,map,6,0.991063370559202,0.9403474387316866,0.05071593182751544
macaroni1,map,7,0.991063370559202,0.9411922187855268,0.04987115177367518
macaroni1,map,8,0.991063370559202,0.9388488303100243,0.05221454024917771
macaroni1,map,9,0.991063370559202,0.9414728796297441,0.04959049092945789
macaroni2,appearance,0,0.98999265945354,0.7930072367931873,0.19698542266035268
macaroni2,appearance,1,0.98999265945354,0.7959845073467977,0.19400815210674227
macaroni2,appearance,2,0.98999265945354,0.8053308097976903,0.18466184965584964
macaroni2,appearance,3,0.98999265945354,0.801524807044386,0.18846785240915398
macaroni2,appearance,4,0.98999265945354,0.7959710294267868,0.1940216300267532
macaroni2,appearance,5,0.98999265945354,0.7958376784939558,0.19415498095958417
macaroni2,appearance,6,0.98999265945354,0.7940242150556293,0.19596844439791072
macaroni2,appearance,7,0.98999265945354,0.7979142937360801,0.19207836571745984
macaroni2,appearance,8,0.98999265945354,0.7908489472055326,0.19914371224800742
macaroni2,appearance,9,0.98999265945354,0.7967523693889077,0.19324029006463228
macaroni2,map,0,0.98999265945354,0.9183406492637625,0.07165201018977752
macaroni2,map,1,0.98999265945354,0.9203604198960528,0.06963223955748721
macaroni2,map,2,0.98999265945354,0.918315839179099,0.071676820274441
macaroni2,map,3,0.98999265945354,0.9192268928754748,0.07076576657806521
macaroni2,map,4,0.98999265945354,0.9193784424673761,0.07061421698616388
macaroni2,map,5,0.98999265945354,0.9199695371732707,0.0700231222802693
macaroni2,map,6,0.98999265945354,0.9182338693928814,0.07175879006065855
macaroni2,map,7,0.98999265945354,0.9213433840662137,0.06864927538732624
macaroni2,map,8,0.98999265945354,0.9190958571226717,0.07089680233086826
macaroni2,map,9,0.98999265945354,0.9186316445613256,0.07136101489221436
pcb1,appearance,0,0.9483355834960998,0.9111978271484481,0.03713775634765171
pcb1,appearance,1,0.9483355834960998,0.9131041748046973,0.03523140869140251
pcb1,appearance,2,0.9483355834960998,0.9160412841796968,0.03229429931640304
pcb1,appearance,3,0.9483355834960998,0.9112553222656354,0.03708026123046437
pcb1,appearance,4,0.9483355834960998,0.9104055541992292,0.037930029296870615
pcb1,appearance,5,0.9483355834960998,0.9122728027343852,0.03606278076171465
pcb1,appearance,6,0.9483355834960998,0.913094128417979,0.03524145507812082
pcb1,appearance,7,0.9483355834960998,0.9114258056640728,0.03690977783202698
pcb1,appearance,8,0.9483355834960998,0.914101513671885,0.03423406982421484
pcb1,appearance,9,0.9483355834960998,0.9117498657226661,0.03658571777343367
pcb1,map,0,0.9483355834960998,0.7119887573242584,0.23634682617184144
