dataset,category,strategy,eval_mode,num_images_total,num_images_used,num_normal,num_anomaly,covered_count,fallback_count,coverage_ratio,auroc,ap,best_f1,best_accuracy,best_threshold
VisA,pcb4,inspection_binary,full_all,201,201,101,100,201,0,1.0,0.8018811881188119,0.8347051577269312,0.7555555555555555,0.7263681592039801,-0.003113001585006714
VisA,pipe_fryum,inspection_binary,full_all,150,150,50,100,150,0,1.0,0.6285999999999999,0.8068344289490916,0.8,0.6666666666666666,-0.0005045831203460693
VisA,candle,inspection_binary,crop_or_full,200,200,100,100,100,100,0.5,0.9606,0.9757140676509559,0.9441624365482234,0.945,-0.0004951953887939453
VisA,capsules,inspection_binary,crop_or_full,160,160,60,100,100,60,0.625,0.9988333333333332,0.9993136101160087,0.9852216748768473,0.98125,-0.013210177421569824
VisA,cashew,inspection_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,1.0,1.0,1.0,1.0,-0.005845874547958374
VisA,chewinggum,inspection_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,0.9988,0.9993906797315014,0.9950248756218906,0.9933333333333333,-0.0038994252681732178
VisA,fryum,inspection_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,0.9922,0.9964543250603503,0.9702970297029703,0.96,-0.004070758819580078
VisA,macaroni1,inspection_binary,crop_or_full,200,200,100,100,100,100,0.5,0.9236000000000001,0.9457455237820722,0.875,0.88,-0.005999952554702759
VisA,macaroni2,inspection_binary,crop_or_full,200,200,100,100,100,100,0.5,0.6747000000000001,0.7478224062074301,0.6689419795221843,0.515,-0.011008143424987793
VisA,pcb1,inspection_binary,crop_or_full,200,200,100,100,100,100,0.5,0.4706000000000001,0.6060292710380522,0.6666666666666666,0.5,-0.007476359605789185
VisA,pcb2,inspection_binary,crop_or_full,200,200,100,100,100,100,0.5,0.9753999999999999,0.9857065865054552,0.9696969696969697,0.97,-0.005270719528198242
VisA,pcb3,inspection_binary,crop_or_full,201,201,101,100,100,101,0.4975124378109453,0.7691089108910891,0.8275543514974318,0.7422680412371134,0.7512437810945274,-0.004321545362472534
VisA,pcb4,inspection_binary,crop_or_full,201,201,101,100,100,101,0.4975124378109453,0.7125742574257425,0.8042183914621882,0.703030303030303,0.7562189054726368,-0.0022683143615722656
VisA,pipe_fryum,inspection_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,0.9302,0.9720860206226418,0.92,0.8933333333333333,0.008196383714675903
VisA,candle,inspection_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.9606,0.9757140676509559,0.9441624365482234,0.945,-0.0004951953887939453
VisA,capsules,inspection_binary,crop_topk_ensemble,160,160,60,100,100,60,0.625,0.9993333333333333,0.9996087378640777,0.99,0.9875,-0.011867552995681763
VisA,cashew,inspection_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,1.0,1.0,1.0,1.0,-0.005845874547958374
VisA,chewinggum,inspection_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,0.9988,0.9993906797315014,0.9950248756218906,0.9933333333333333,-0.0038994252681732178
VisA,fryum,inspection_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,0.9942,0.9974556977931359,0.9847715736040609,0.98,-0.0029027163982391357
VisA,macaroni1,inspection_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.9263,0.9482635056650005,0.8808290155440415,0.885,-0.005999952554702759
VisA,macaroni2,inspection_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.7198,0.7906163811491471,0.6767676767676768,0.68,-0.006258606910705566
VisA,pcb1,inspection_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.548,0.653188402571454,0.6666666666666666,0.5,-0.007476359605789185
VisA,pcb2,inspection_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.9757,0.9860246397029652,0.9696969696969697,0.97,-0.005270719528198242
VisA,pcb3,inspection_binary,crop_topk_ensemble,201,201,101,100,100,101,0.4975124378109453,0.8016831683168317,0.854569434602133,0.7707317073170732,0.7661691542288557,-0.004566118121147156
