category,weight_id,tune_patchcore_f1,tune_rerank_f1,mean_w,max_w,gap_w,area_w,compact_w,aspect_w,semantic_w
screw,111,0.3853646333333333,0.4014367,0.4,0.0,0.2,0.0,0.0,0.0,0.4
screw,112,0.3853646333333333,0.4014367,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0
screw,113,0.3853646333333333,0.4014367,0.5,0.0,0.25,0.0,0.0,0.125,0.125
screw,114,0.3853646333333333,0.4014367,0.4444444444444444,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.2222222222222222
screw,115,0.3853646333333333,0.4014367,0.36363636363636365,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.36363636363636365
screw,116,0.3853646333333333,0.4014367,0.5,0.0,0.25,0.0,0.0,0.25,0.0
screw,117,0.3853646333333333,0.4014367,0.4444444444444445,0.0,0.22222222222222224,0.0,0.0,0.22222222222222224,0.11111111111111112
screw,118,0.3853646333333333,0.4014367,0.4,0.0,0.2,0.0,0.0,0.2,0.2
screw,119,0.3853646333333333,0.4014367,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.3333333333333333
screw,120,0.3853646333333333,0.4014367,0.5,0.0,0.25,0.0,0.25,0.0,0.0
screw,121,0.3853646333333333,0.4014367,0.4444444444444445,0.0,0.22222222222222224,0.0,0.22222222222222224,0.0,0.11111111111111112
screw,122,0.3853646333333333,0.4014367,0.4,0.0,0.2,0.0,0.2,0.0,0.2
screw,123,0.3853646333333333,0.4014367,0.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333
screw,124,0.3853646333333333,0.4014367,0.4444444444444445,0.0,0.22222222222222224,0.0,0.22222222222222224,0.11111111111111112,0.0
screw,125,0.3853646333333333,0.4014367,0.4,0.0,0.2,0.0,0.2,0.1,0.1
screw,126,0.3853646333333333,0.4014367,0.36363636363636365,0.0,0.18181818181818182,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182
screw,127,0.3853646333333333,0.4014367,0.3076923076923077,0.0,0.15384615384615385,0.0,0.15384615384615385,0.07692307692307693,0.3076923076923077
screw,128,0.3853646333333333,0.4014367,0.4,0.0,0.2,0.0,0.2,0.2,0.0
screw,129,0.3853646333333333,0.4014367,0.36363636363636365,0.0,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091
screw,130,0.3853646333333333,0.4014367,0.33333333333333337,0.0,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669
screw,131,0.3853646333333333,0.4014367,0.28571428571428575,0.0,0.14285714285714288,0.0,0.14285714285714288,0.14285714285714288,0.28571428571428575
screw,132,0.3853646333333333,0.4014367,0.4,0.0,0.2,0.0,0.4,0.0,0.0
screw,133,0.3853646333333333,0.4014367,0.36363636363636365,0.0,0.18181818181818182,0.0,0.36363636363636365,0.0,0.09090909090909091
screw,134,0.3853646333333333,0.4014367,0.33333333333333337,0.0,0.16666666666666669,0.0,0.33333333333333337,0.0,0.16666666666666669
screw,135,0.3853646333333333,0.4014367,0.28571428571428575,0.0,0.14285714285714288,0.0,0.28571428571428575,0.0,0.28571428571428575
