category,image_id,caliper,positive_count,matched_count,coverage,median_nearest_distance,reuse_fraction,response_pair_accuracy,MLP_pair_accuracy
macaroni2,e3d133714c0f05814f496648,0.01,32,0,0.0,2.0658063888549805,,,
macaroni2,e3d133714c0f05814f496648,0.05,32,0,0.0,2.0658063888549805,,,
macaroni2,e3d133714c0f05814f496648,0.1,32,0,0.0,2.0658063888549805,,,
macaroni2,eae40d57f118ed32069bdd26,0.01,32,10,0.3125,0.19443662464618683,0.0,0.4000000059604645,1.0
macaroni2,eae40d57f118ed32069bdd26,0.05,32,10,0.3125,0.19443662464618683,0.0,0.4000000059604645,1.0
macaroni2,eae40d57f118ed32069bdd26,0.1,32,12,0.375,0.19443662464618683,0.08333333333333337,0.5,1.0
macaroni2,f1974de0999ddbae2228d155,0.01,32,4,0.125,0.505942165851593,0.0,0.75,1.0
macaroni2,f1974de0999ddbae2228d155,0.05,32,5,0.15625,0.505942165851593,0.0,0.800000011920929,1.0
macaroni2,f1974de0999ddbae2228d155,0.1,32,5,0.15625,0.505942165851593,0.0,0.800000011920929,1.0
macaroni2,f1d17364deb292c99d749920,0.01,32,9,0.28125,0.5320326089859009,0.0,0.6666666865348816,1.0
macaroni2,f1d17364deb292c99d749920,0.05,32,10,0.3125,0.5320326089859009,0.0,0.699999988079071,1.0
macaroni2,f1d17364deb292c99d749920,0.1,32,11,0.34375,0.5320326089859009,0.0,0.7272727489471436,1.0
macaroni2,f85176278608d1dceff94b4b,0.01,32,16,0.5,0.010408759117126465,0.0625,0.4375,1.0
macaroni2,f85176278608d1dceff94b4b,0.05,32,23,0.71875,0.010408759117126465,0.17391304347826086,0.47826087474823,1.0
macaroni2,f85176278608d1dceff94b4b,0.1,32,25,0.78125,0.010408759117126465,0.19999999999999996,0.5199999809265137,1.0
macaroni2,fd40c99a12d76a57de528883,0.01,32,0,0.0,1.8841609954833984,,,
macaroni2,fd40c99a12d76a57de528883,0.05,32,0,0.0,1.8841609954833984,,,
macaroni2,fd40c99a12d76a57de528883,0.1,32,0,0.0,1.8841609954833984,,,
pcb1,01a83a014fad55e405a3e709,0.01,32,32,1.0,0.00013723969459533691,0.0,0.5625,0.34375
pcb1,01a83a014fad55e405a3e709,0.05,32,32,1.0,0.00013723969459533691,0.0,0.5625,0.34375
pcb1,01a83a014fad55e405a3e709,0.1,32,32,1.0,0.00013723969459533691,0.0,0.5625,0.34375
pcb1,04c892b9392b4664c9714d83,0.01,32,8,0.25,3.514427661895752,0.0,0.25,1.0
pcb1,04c892b9392b4664c9714d83,0.05,32,8,0.25,3.514427661895752,0.0,0.25,1.0
pcb1,04c892b9392b4664c9714d83,0.1,32,8,0.25,3.514427661895752,0.0,0.25,1.0
pcb1,0602bbc2de6433225c631535,0.01,32,27,0.84375,0.0008076131343841553,0.03703703703703709,0.40740740299224854,0.5185185074806213
pcb1,0602bbc2de6433225c631535,0.05,32,30,0.9375,0.0008076131343841553,0.033333333333333326,0.4000000059604645,0.5666666626930237
pcb1,0602bbc2de6433225c631535,0.1,32,30,0.9375,0.0008076131343841553,0.033333333333333326,0.4000000059604645,0.5666666626930237
pcb1,0c33699be9e9a16d7c17ce77,0.01,32,14,0.4375,1.6436543464660645,0.0,0.5714285969734192,1.0
pcb1,0c33699be9e9a16d7c17ce77,0.05,32,14,0.4375,1.6436543464660645,0.0,0.5714285969734192,1.0
