heldout_category,w_max,q_quantile,q_threshold_from_dev,tau_delta,dev_macro_auroc,dev_detector_macro_auroc,dev_delta_vs_detector,eligible_noninferior,dev_potential_call_rate,dev_active_weight_rate,valid_dev_groups,detector_dev_groups,dev_rank
macaroni2,0.15,0.5,0.35751856333087395,0.25,0.9322100360036004,0.9321012151215124,0.0001088208820879677,True,0.2803261977573904,0.127420998980632,11,11,26.0
macaroni2,0.15,0.5,0.35751856333087395,0.5,0.9331465646564658,0.9321012151215124,0.0010453495349533881,True,0.2803261977573904,0.23598369011213047,11,11,17.0
macaroni2,0.15,0.5,0.35751856333087395,0.75,0.934550210021002,0.9321012151215124,0.002448994899489576,True,0.2803261977573904,0.2747196738022426,11,11,9.0
macaroni2,0.15,0.75,0.4969863269468373,0.25,0.9321649414941494,0.9321012151215124,6.372637263696301e-05,True,0.1401630988786952,0.05708460754332314,11,11,27.0
macaroni2,0.15,0.75,0.4969863269468373,0.5,0.9328701020102009,0.9321012151215124,0.0007688868886884803,True,0.1401630988786952,0.11365953109072376,11,11,18.0
macaroni2,0.15,0.75,0.4969863269468373,0.75,0.933756105610561,0.9321012151215124,0.0016548904890485439,True,0.1401630988786952,0.13557594291539246,11,11,13.0
macaroni2,0.25,0.25,0.2376558375792334,0.25,0.932413681368137,0.9321012151215124,0.00031246624662450984,True,0.42048929663608564,0.19928644240570845,11,11,20.0
macaroni2,0.25,0.25,0.2376558375792334,0.5,0.9341531353135314,0.9321012151215124,0.002051920192018941,True,0.42048929663608564,0.3527013251783894,11,11,11.0
macaroni2,0.25,0.25,0.2376558375792334,0.75,0.9371122112211222,0.9321012151215124,0.005010996099609755,True,0.42048929663608564,0.41182466870540263,11,11,3.0
macaroni2,0.25,0.5,0.35751856333087395,0.25,0.9323460396039605,0.9321012151215124,0.0002448244824480028,True,0.2803261977573904,0.127420998980632,11,11,22.0
macaroni2,0.25,0.5,0.35751856333087395,0.5,0.9337665166516651,0.9321012151215124,0.001665301530152652,True,0.2803261977573904,0.23598369011213047,11,11,12.0
macaroni2,0.25,0.5,0.35751856333087395,0.75,0.9358700720072007,0.9321012151215124,0.0037688568856882876,True,0.2803261977573904,0.2747196738022426,11,11,4.0
macaroni2,0.25,0.75,0.4969863269468373,0.25,0.9322556705670568,0.9321012151215124,0.00015445544554437696,True,0.1401630988786952,0.05708460754332314,11,11,24.0
macaroni2,0.25,0.75,0.4969863269468373,0.5,0.9332182268226823,0.9321012151215124,0.0011170117011698455,True,0.1401630988786952,0.11365953109072376,11,11,16.0
macaroni2,0.25,0.75,0.4969863269468373,0.75,0.9346375637563756,0.9321012151215124,0.0025363486348631836,True,0.1401630988786952,0.13557594291539246,11,11,8.0
macaroni2,0.35,0.25,0.2376558375792334,0.25,0.9325012001200121,0.9321012151215124,0.0003999849984996917,True,0.42048929663608564,0.19928644240570845,11,11,19.0
